지역,latitude,longitude,날짜,연도,분기,지표,값
광주광역시,35.1595,126.8526,2018-01-01,2018,Q1,전출률,17.4
대전광역시,36.3504,127.3845,2018-01-01,2018,Q1,전출률,17.7
울산광역시,35.5384,129.3114,2018-01-01,2018,Q1,전출률,14.8
세종특별자치시,36.48,127.289,2018-01-01,2018,Q1,전출률,21.1
경기도,37.4138,127.5183,2018-01-01,2018,Q1,전출률,16.5
강원특별자치도,37.8225,128.1555,2018-01-01,2018,Q1,전출률,17.3
충청북도,36.6297,127.921,2018-01-01,2018,Q1,전출률,15.2
충청남도,36.6353,126.7404,2018-01-01,2018,Q1,전출률,15.5
전북특별자치도,35.8175,127.14,2018-01-01,2018,Q1,전출률,17.5
전라남도,34.8006,126.2994,2018-01-01,2018,Q1,전출률,15.2
경상북도,36.1584,128.7364,2018-01-01,2018,Q1,전출률,14.5
경상남도,35.2354,128.6922,2018-01-01,2018,Q1,전출률,14.3
제주특별자치도,33.4996,126.5312,2018-01-01,2018,Q1,전출률,19.6
행정구역(시도)별,,,2018-01-01,2018,Q1,순이동률,순이동률(%)
전국,,,2018-01-01,2018,Q1,순이동률,0.0
서울특별시,,,2018-01-01,2018,Q1,순이동률,-0.9
부산광역시,35.1796,129.0756,2018-01-01,2018,Q1,순이동률,-0.8
대구광역시,35.8714,128.6014,2018-01-01,2018,Q1,순이동률,-0.5
인천광역시,37.4563,126.7052,2018-01-01,2018,Q1,순이동률,0.2
광주광역시,35.1595,126.8526,2018-01-01,2018,Q1,순이동률,-0.6
대전광역시,36.3504,127.3845,2018-01-01,2018,Q1,순이동률,-1.4
울산광역시,35.5384,129.3114,2018-01-01,2018,Q1,순이동률,-1.3
세종특별자치시,36.48,127.289,2018-01-01,2018,Q1,순이동률,14.9
경기도,37.4138,127.5183,2018-01-01,2018,Q1,순이동률,1.4
강원특별자치도,37.8225,128.1555,2018-01-01,2018,Q1,순이동률,-0.8
